stco,state,year,corn,gdd,edd,ppt,whc,om,spH,clay,slope,dsci_jul,soil_jul,pr_jul,tmmx_jul
17001,17,1981,116.0,144.9,9.3,982.754,34.8166,153.8438,6.2865,28.1477,100.5731,,1193.386,302.551,291.621
17003,17,1981,100.0,137.3,26.8,788.6962,31.6414,174.4598,6.5033,27.0825,47.0458,,1614.716,187.41,318.304
17005,17,1981,109.0,140.3,18.1,759.8871,26.1186,103.8926,6.1654,28.4206,58.584,,1374.378,190.128,306.003
17007,17,1981,123.0,136.9,4.0,674.2255,26.8755,258.0167,6.6681,24.4326,85.5528,,211.926,86.611,269.565
17009,17,1981,131.0,144.6,9.2,998.1249,31.5379,124.5589,6.2671,28.6716,107.8786,,1308.802,288.729,294.022
17011,17,1981,136.0,140.2,6.4,852.4879,28.0759,305.0303,6.5746,25.1974,86.3955,,409.18,103.625,280.883
17013,17,1981,121.0,139.5,17.7,936.9373,38.3334,153.9524,6.4273,23.3692,54.5336,,1469.921,275.651,304.158
17015,17,1981,127.0,138.4,4.3,912.5725,29.8127,165.3555,6.1585,25.6491,96.6436,,233.033,74.97,274.029
17017,17,1981,136.0,143.3,10.2,942.4751,29.5968,200.146,6.6994,23.3018,107.9213,,1336.69,271.031,295.064
17019,17,1981,133.0,140.7,8.7,936.881,24.655,249.7462,6.9017,28.5775,80.6403,,1025.479,174.557,287.855
17021,17,1981,143.0,142.2,12.5,904.1205,31.4951,218.7149,6.5178,30.7333,120.9926,,1439.406,205.624,302.023
17023,17,1981,104.0,138.7,15.7,905.3594,29.9879,107.7093,5.8046,25.9585,71.7597,,785.158,146.138,301.356
17025,17,1981,100.0,137.9,18.9,761.6895,27.5718,85.7785,5.7021,27.9439,66.3162,,742.941,137.7,308.922
17027,17,1981,104.0,139.8,19.3,818.6926,27.1283,103.5762,6.3259,28.0786,49.4655,,1325.095,186.637,307.33
17029,17,1981,131.0,142.0,11.5,888.7536,25.9731,206.4114,6.7553,26.7984,82.5576,,880.474,152.595,297.477
17031,17,1981,117.0,138.2,4.7,800.7625,20.7788,362.0379,7.1947,32.7833,50.6742,,589.419,106.832,265.971
17033,17,1981,106.0,137.2,18.3,806.4561,27.5566,101.6936,5.7862,25.5526,68.1517,,630.183,125.508,307.221
17035,17,1981,108.0,140.8,13.6,880.5166,27.5703,99.0385,5.7531,27.4728,62.4455,,758.06,136.657,301.248
17037,17,1981,137.0,137.9,3.7,747.5556,26.7536,291.1934,6.9522,27.2849,79.9101,,261.877,95.006,270.594
17039,17,1981,123.0,142.6,8.7,986.7743,27.5758,224.6656,6.7759,28.902,142.0488,,1232.779,184.584,291.403
17041,17,1981,131.0,141.9,10.2,912.0132,26.3244,253.1577,6.8838,28.6159,88.979,,972.414,166.436,295.878
17043,17,1981,124.0,138.1,4.8,737.4943,22.9586,299.0947,7.2276,27.6817,62.5194,,326.302,103.839,275.345
17045,17,1981,127.0,141.9,10.0,893.5965,24.8158,212.7712,6.7166,27.2671,71.0003,,1020.51,170.828,294.656
17047,17,1981,102.0,135.0,22.9,752.3007,28.8347,112.6704,5.6107,26.1188,45.6973,,570.673,125.129,313.196
17049,17,1981,108.0,141.5,13.4,772.5629,28.3702,91.4886,5.7382,26.8729,76.0235,,820.071,145.971,304.179
17051,17,1981,108.0,140.9,16.1,745.3852,28.0002,102.8607,5.8211,27.2389,70.9884,,1122.394,170.822,306.151
17053,17,1981,124.0,139.6,7.8,878.5491,20.9337,260.5859,7.1233,36.4583,55.4354,,832.491,151.487,282.851
17055,17,1981,87.0,137.6,22.9,818.0402,29.2402,86.9711,5.3981,26.9536,50.3245,,1225.93,157.533,313.779
17057,17,1981,118.0,143.4,8.4,918.2777,30.0712,145.8303,6.3725,27.7595,132.5651,,1349.071,224.132,289.967
