stco,year,dsci_jul,dsci_jja,d2_jul
1001,2000,417.3,407.1,100.0
1001,2001,0.0,0.0,0.0
1001,2002,190.7,177.5,0.0
1001,2003,0.0,0.0,0.0
1001,2004,0.0,18.4,0.0
1001,2005,0.0,0.0,0.0
1001,2006,250.0,200.0,50.0
1001,2007,357.1,414.1,100.0
1001,2008,200.8,231.2,0.8
1001,2009,0.0,0.0,0.0
1001,2010,71.4,56.1,0.0
1001,2011,168.1,217.8,0.0
1001,2012,275.3,231.1,75.3
1001,2013,35.7,34.2,0.0
1001,2014,0.0,14.7,0.0
1001,2015,0.0,1.3,0.0
1003,2000,461.3,450.1,100.0
1003,2001,0.0,13.6,0.0
1003,2002,230.4,180.9,50.3
1003,2003,0.0,0.0,0.0
1003,2004,0.0,1.7,0.0
1003,2005,0.0,0.0,0.0
1003,2006,372.1,334.2,100.0
1003,2007,164.5,188.2,0.0
1003,2008,2.9,12.5,0.0
1003,2009,66.0,35.2,0.0
1003,2010,51.6,46.4,0.0
1003,2011,422.9,375.7,99.4
1003,2012,1.0,19.3,0.0
1003,2013,5.6,12.6,0.0
1003,2014,0.0,7.7,0.0
1003,2015,75.3,53.9,0.0
1005,2000,500.0,467.6,100.0
1005,2001,0.0,7.7,0.0
1005,2002,280.0,258.2,80.0
1005,2003,0.0,0.0,0.0
1005,2004,0.0,24.5,0.0
1005,2005,0.0,0.0,0.0
1005,2006,295.0,273.7,75.0
1005,2007,314.8,373.4,89.3
1005,2008,220.9,205.3,20.9
1005,2009,0.0,0.0,0.0
1005,2010,87.8,71.5,0.0
1005,2011,395.2,395.6,95.2
1005,2012,419.2,386.3,100.0
1005,2013,5.4,19.0,0.0
1005,2014,62.0,52.1,0.0
1005,2015,46.6,43.8,0.0
1007,2000,356.0,365.1,81.0
1007,2001,0.0,0.0,0.0
1007,2002,107.2,95.5,0.0
1007,2003,0.0,0.0,0.0
1007,2004,0.0,11.2,0.0
1007,2005,0.0,0.0,0.0
1007,2006,250.0,192.3,50.0
1007,2007,415.2,454.1,100.0
1007,2008,215.6,253.5,15.6
1007,2009,0.0,0.0,0.0
1007,2010,6.8,2.3,0.0
1007,2011,88.7,181.2,0.0
1007,2012,200.0,164.0,0.0
1007,2013,14.2,20.1,0.0
1007,2014,47.8,64.0,0.0
1007,2015,17.0,29.3,0.0
1009,2000,326.8,351.4,76.8
1009,2001,0.0,0.0,0.0
1009,2002,71.8,79.7,0.0
1009,2003,0.0,0.0,0.0
1009,2004,0.0,0.1,0.0
1009,2005,0.0,0.0,0.0
1009,2006,200.0,178.2,0.0
1009,2007,500.0,500.0,100.0
1009,2008,299.4,287.7,99.4
1009,2009,0.0,0.0,0.0
1009,2010,0.0,0.0,0.0
1009,2011,32.5,45.4,0.0
1009,2012,151.5,92.5,0.8
1009,2013,0.0,0.0,0.0
1009,2014,13.2,32.3,0.0
1009,2015,148.3,119.3,0.0
1011,2000,498.7,461.1,100.0
1011,2001,0.0,4.9,0.0
1011,2002,273.6,256.7,73.6
1011,2003,0.0,0.0,0.0
1011,2004,0.0,21.4,0.0
1011,2005,0.0,0.0,0.0
1011,2006,286.9,276.1,75.0
1011,2007,333.5,382.0,99.9
1011,2008,215.5,223.2,15.5
1011,2009,0.0,0.0,0.0
1011,2010,96.6,63.7,0.0
1011,2011,340.5,345.2,100.0
1011,2012,382.1,353.8,100.0
1011,2013,13.3,26.4,0.0
1011,2014,4.3,2.7,0.0
1011,2015,21.0,24.9,0.0
1013,2000,462.6,449.7,100.0
1013,2001,0.0,0.1,0.0
1013,2002,223.7,196.4,23.8
1013,2003,0.0,0.0,0.0
1013,2004,0.0,19.4,0.0
1013,2005,0.0,0.0,0.0
1013,2006,313.7,281.2,63.7
1013,2007,226.8,319.3,26.9
1013,2008,200.0,173.2,0.0
1013,2009,22.4,6.9,0.0
1013,2010,85.1,67.2,0.0
1013,2011,250.0,252.3,50.0
1013,2012,115.9,91.5,0.0
1013,2013,0.0,23.3,0.0
1013,2014,5.2,10.9,0.0
1013,2015,3.9,10.1,0.0
1015,2000,396.6,399.4,100.0
1015,2001,0.0,0.0,0.0
1015,2002,169.5,183.5,0.0
1015,2003,0.0,0.0,0.0
1015,2004,0.0,19.1,0.0
1015,2005,0.0,0.0,0.0
1015,2006,200.0,204.7,0.0
1015,2007,499.3,489.8,100.0
1015,2008,300.0,288.9,100.0
1015,2009,53.2,19.2,0.0
1015,2010,69.9,28.0,0.0
1015,2011,52.8,70.8,0.0
1015,2012,282.1,244.3,82.1
1015,2013,0.0,0.0,0.0
1015,2014,13.4,23.3,0.0
1015,2015,25.5,48.7,0.0
1017,2000,480.6,455.6,100.0
1017,2001,0.0,6.3,0.0
1017,2002,225.4,242.6,25.4
1017,2003,0.0,0.0,0.0
1017,2004,0.0,52.6,0.0
1017,2005,0.0,0.0,0.0
1017,2006,258.4,243.8,58.4
1017,2007,379.0,422.7,100.0
1017,2008,300.0,286.6,100.0
1017,2009,78.3,55.8,0.0
1017,2010,103.3,93.8,0.0
1017,2011,292.2,306.7,87.6
1017,2012,420.5,409.5,100.0
1017,2013,0.0,0.0,0.0
1017,2014,48.2,48.1,0.0
1017,2015,1.6,16.7,0.0
1019,2000,380.5,366.0,100.0
1019,2001,0.0,0.0,0.0
1019,2002,148.3,156.4,0.0
1019,2003,0.0,0.0,0.0
1019,2004,0.0,28.6,0.0
1019,2005,0.0,0.0,0.0
1019,2006,196.4,183.1,0.0
1019,2007,497.8,490.6,100.0
1019,2008,300.0,301.7,100.0
1019,2009,29.3,11.4,0.0
1019,2010,100.0,59.9,0.0
1019,2011,51.8,68.7,0.0
1019,2012,196.6,164.7,3.2
1019,2013,0.0,0.0,0.0
1019,2014,0.0,1.2,0.0
1019,2015,122.8,101.2,0.0
1021,2000,387.3,396.0,100.0
1021,2001,0.0,0.0,0.0
1021,2002,169.4,166.2,0.0
1021,2003,0.0,0.0,0.0
1021,2004,0.0,14.3,0.0
1021,2005,0.0,0.0,0.0
1021,2006,250.0,193.3,50.0
1021,2007,396.4,436.5,100.0
1021,2008,259.4,272.5,59.4
1021,2009,0.0,0.0,0.0
1021,2010,72.9,55.9,0.0
1021,2011,116.1,206.2,0.0
1021,2012,271.7,211.6,71.7
1021,2013,37.0,35.9,0.0
1021,2014,22.1,37.5,0.0
1021,2015,0.0,13.4,0.0
1023,2000,331.9,339.3,83.3
1023,2001,0.0,0.0,0.0
1023,2002,116.5,91.6,0.0
1023,2003,0.0,0.0,0.0
1023,2004,0.0,5.5,0.0
1023,2005,0.0,0.0,0.0
1023,2006,297.1,256.4,50.0
1023,2007,239.4,305.9,29.0
