stco,year,gdd,edd
1001,1981,129.8,46.8
1003,1981,131.9,47.6
1005,1981,129.2,47.1
1007,1981,129.3,45.1
1009,1981,134.4,35.4
1011,1981,128.2,47.2
1013,1981,128.5,48.1
1015,1981,134.1,36.5
1017,1981,131.0,41.9
1019,1981,136.1,33.7
1021,1981,132.2,42.5
1023,1981,124.1,51.9
1025,1981,125.1,51.7
1027,1981,136.7,34.4
1029,1981,138.1,31.0
1031,1981,128.2,49.6
1033,1981,136.6,31.9
1035,1981,127.5,49.6
1037,1981,132.3,41.5
1039,1981,126.4,51.2
1041,1981,129.8,46.5
1043,1981,136.5,31.9
1045,1981,128.4,49.5
1047,1981,128.6,48.0
1049,1981,142.1,23.7
1051,1981,129.0,46.8
1053,1981,127.5,50.2
1055,1981,137.1,33.4
1057,1981,130.1,40.3
1059,1981,138.9,29.0
1061,1981,127.7,50.4
1063,1981,125.5,49.9
1065,1981,126.0,49.7
1067,1981,127.9,49.7
1069,1981,125.6,52.8
1071,1981,138.8,26.7
1073,1981,131.3,41.6
1075,1981,129.7,41.4
1077,1981,137.2,30.9
1079,1981,137.6,31.2
1081,1981,131.3,43.2
1083,1981,135.8,32.0
1085,1981,128.0,49.0
1087,1981,128.6,46.5
1089,1981,136.3,30.6
1091,1981,125.3,50.8
1093,1981,134.4,34.3
1095,1981,137.7,31.3
1097,1981,128.5,51.3
1099,1981,129.1,48.3
1101,1981,126.9,49.7
1103,1981,135.1,33.4
1105,1981,128.3,47.4
1107,1981,126.2,47.7
1109,1981,129.8,46.8
1111,1981,136.0,34.6
1113,1981,127.7,47.0
1115,1981,133.9,37.5
1117,1981,129.8,44.2
1119,1981,124.6,50.8
1121,1981,129.9,42.8
1123,1981,130.8,43.0
1125,1981,127.1,46.9
1127,1981,130.8,39.7
1129,1981,124.0,53.1
1131,1981,128.6,48.0
1133,1981,137.5,31.1
4001,1981,126.8,20.4
4003,1981,123.2,49.5
4005,1981,125.1,20.1
4007,1981,115.8,50.0
4009,1981,113.5,59.6
4011,1981,115.9,56.4
4012,1981,76.4,105.9
4013,1981,84.9,95.9
4015,1981,80.3,99.4
4017,1981,126.9,25.1
4019,1981,97.7,80.4
4021,1981,87.4,92.3
4023,1981,122.4,51.0
4025,1981,117.3,47.9
4027,1981,84.7,96.6
5001,1981,132.0,43.1
5003,1981,125.8,50.3
5005,1981,136.5,29.8
5007,1981,143.8,22.5
5009,1981,142.6,23.9
5011,1981,131.7,43.2
5013,1981,131.2,43.4
5015,1981,141.8,24.4
5017,1981,125.5,51.0
5019,1981,133.2,40.4
5021,1981,132.7,35.0
5023,1981,134.4,34.7
5025,1981,132.2,42.6
5027,1981,131.8,43.8
5029,1981,134.9,35.9
5031,1981,131.2,38.5
5033,1981,136.5,34.5
5035,1981,133.6,37.8
5037,1981,133.5,37.9
5039,1981,132.5,41.4
5041,1981,131.0,44.6
5043,1981,129.7,46.0
5045,1981,133.7,38.1
5047,1981,136.1,34.7
5049,1981,136.2,29.6
5051,1981,135.6,36.7
5053,1981,132.5,41.3
5055,1981,132.7,36.2
5057,1981,135.2,39.0
5059,1981,134.0,39.3
5061,1981,137.0,36.7
5063,1981,133.1,37.0
5065,1981,133.6,33.8
