stco,irrig_share
1001,0.0
1003,0.07959479015918958
1005,0.0
1011,0.0
1015,0.0
1019,0.0
1021,0.0
1025,0.0
1031,0.2810945273631841
1033,0.0946826596146581
1039,0.0
1041,0.33201892744479494
1043,0.0
1045,0.0
1049,0.0
1051,0.2745331744139849
1053,0.008528784648187633
1059,0.0
1061,0.18379345603271985
1063,
1065,0.0
1067,0.15002311604253352
1069,0.3929434509424843
1071,0.0
1073,0.9615384615384616
1077,0.0
1079,0.031185816116950586
1081,0.0
1083,0.17703366436023374
1085,0.0
1087,0.0
1089,0.05481170069949834
1091,0.0
1097,
1099,0.0
1101,0.0
1105,0.049520515642194625
1107,
1109,0.3697767601602748
1115,0.16058394160583941
1117,0.6533166458072591
1119,0.0
1121,0.2492812649736464
1123,0.0
1125,0.14106583072100312
4003,0.48238055928180784
4009,0.3651705565529623
4011,
4013,1.0
4017,
4021,1.0
4025,
4027,1.0
5001,0.9369372003274471
5003,0.9774054467063253
5005,
5017,0.4424203747751929
5021,0.8418199371240439
5029,0.0
5031,0.9138284012655872
5033,0.288
5035,0.0
5037,0.9949804236522437
5041,0.44070168711656443
5043,0.9126910367616687
5045,0.0
5055,0.819871065604854
5063,0.0
5065,
5067,0.7008694402529281
5069,0.4287273448868898
5071,0.0
5073,0.794732441471572
5075,0.8121306376360808
5077,0.82732881736204
5079,0.0
5081,0.8574275362318841
5083,0.14824281150159743
5085,0.852876254180602
5091,0.2384304890641134
5093,0.7348881942774705
5095,0.7644895439048616
5105,
5107,0.449844344517468
5111,0.8990565173582487
5115,0.0
5117,0.0
5119,0.6293979671618452
5121,0.7413559322033898
5123,0.8828818509821889
5145,0.9579016971567115
5147,0.8535450046548092
5149,0.30421909696521093
6005,
6007,1.0
6011,1.0
6013,1.0
6017,1.0
6019,1.0
6021,0.9961453744493393
6023,1.0
6025,1.0
6029,1.0
6031,1.0
6037,
6039,1.0
6045,
6047,0.9128188110363137
6049,
6053,
6055,1.0
6057,1.0
6059,1.0
6061,
6065,
6067,0.47780678851174935
6069,1.0
6071,1.0
6073,1.0
6077,0.4727592932755127
6079,1.0
6081,
6083,
6085,1.0
6089,1.0
6095,0.9694262030358488
6097,1.0
6099,0.4870698432091224
6101,0.9804844049485973
6103,1.0
6107,1.0
6109,0.5
6113,0.9582338902147971
6115,
8001,0.19486159590875882
8005,
8009,0.5665938438731323
8011,0.0
8013,0.731764705882353
8014,0.7869507323568575
8017,0.41307457092128624
8025,0.9910714285714286
8029,0.8706002034587996
8033,
8035,0.0
