stco,year,corn
1001,2017,170.8
1001,2018,165.6
1001,2019,165.3
1001,2020,156.6
1003,2016,152.9
1003,2017,162.0
1003,2018,152.0
1003,2019,150.7
1003,2020,146.9
1003,2021,154.2
1003,2022,139.0
1003,2023,185.2
1003,2024,174.0
1003,2025,170.0
1005,2016,188.9
1005,2017,192.3
1005,2019,184.4
1005,2020,151.7
1005,2021,189.2
1005,2022,159.8
1005,2023,186.9
1009,2020,135.4
1009,2021,152.6
1009,2022,100.4
1009,2023,146.9
1009,2025,124.1
1011,2017,135.0
1013,2020,108.3
1013,2024,83.3
1015,2018,156.2
1015,2019,135.9
1015,2020,151.4
1015,2021,160.2
1015,2022,142.4
1015,2023,180.3
1015,2024,129.7
1015,2025,161.8
1017,2025,144.6
1019,2016,92.3
1019,2017,146.8
1019,2019,129.0
1019,2020,122.6
1019,2021,173.9
1019,2022,138.5
1019,2023,153.2
1019,2024,85.3
1019,2025,121.5
1021,2020,120.0
1021,2021,151.8
1021,2022,92.4
1021,2023,165.0
1021,2024,88.5
1021,2025,123.7
1029,2016,125.0
1029,2017,111.1
1031,2016,104.5
1031,2017,120.2
1031,2022,125.4
1031,2023,111.0
1031,2024,80.1
1033,2016,126.2
1033,2017,195.3
1033,2018,153.6
1033,2019,161.0
1033,2020,175.3
1033,2021,174.7
1033,2022,94.0
1033,2023,172.0
1033,2024,96.0
1033,2025,157.5
1035,2016,116.7
1035,2017,120.7
1035,2018,150.0
1035,2019,109.4
1035,2020,110.0
1035,2025,165.1
1039,2016,108.1
1039,2017,141.7
1039,2019,96.3
1039,2020,113.4
1039,2021,108.5
1039,2023,140.1
1039,2024,87.4
1039,2025,124.2
1041,2017,145.0
1041,2018,112.8
1041,2025,84.2
1043,2016,117.2
1043,2017,175.9
1043,2018,181.6
1043,2019,175.5
1043,2020,174.8
1043,2021,179.2
1043,2022,134.4
1043,2023,174.9
1043,2024,95.0
1043,2025,157.5
1045,2016,145.0
1045,2017,144.0
1045,2019,107.3
1045,2020,113.6
1045,2021,122.2
1045,2022,128.2
1045,2023,141.8
1045,2024,114.2
1045,2025,126.2
1047,2016,118.8
1047,2017,149.6
1047,2018,137.3
1047,2019,134.0
1047,2020,143.3
1047,2021,153.8
1047,2022,111.3
1047,2023,133.0
1047,2024,116.0
1047,2025,140.4
1049,2016,96.8
1049,2017,163.4
1049,2018,168.3
1049,2019,131.1
1049,2020,156.0
1049,2021,161.9
1049,2022,144.3
1049,2023,175.5
1049,2024,129.5
