stco,year,soil_jul,vpd_jul,pr_jul,tmmx_jul
29510,1981,1299.505,99.841,246.24,306.05
17121,1981,1107.21,98.882,163.776,308.395
17005,1981,1374.378,97.77,190.128,306.003
17083,1981,1500.146,93.253,274.058,302.186
17163,1981,1311.088,99.723,220.089,307.146
17027,1981,1325.095,99.49,186.637,307.33
17013,1981,1469.921,94.095,275.651,304.158
17119,1981,1482.182,96.812,230.061,303.436
17133,1981,1324.192,101.275,219.337,310.609
17117,1981,1526.296,91.302,249.279,300.405
17171,1981,1371.274,89.025,279.129,297.241
17137,1981,1383.487,86.424,278.036,295.014
17107,1981,1338.604,86.736,211.376,294.834
17129,1981,1337.659,87.688,238.68,294.418
17167,1981,1414.419,90.29,233.872,297.619
17021,1981,1439.406,93.107,205.624,302.023
17127,1981,1806.691,108.262,183.244,318.207
17057,1981,1349.071,83.747,224.132,289.967
17175,1981,750.823,78.675,122.522,281.902
17203,1981,1075.68,81.795,149.256,285.668
17179,1981,1275.622,83.621,183.573,289.002
17123,1981,768.384,81.617,129.233,285.134
17143,1981,1131.244,80.137,151.021,284.301
17001,1981,1193.386,88.679,302.551,291.621
17177,1981,175.244,72.695,73.477,271.294
17141,1981,205.997,71.163,76.528,270.409
17201,1981,182.079,77.055,77.242,272.754
17007,1981,211.926,72.898,86.611,269.565
17025,1981,742.941,99.818,137.7,308.922
17185,1981,553.666,106.844,121.948,312.196
17009,1981,1308.802,88.802,288.729,294.022
17151,1981,1729.081,104.019,179.955,314.563
17033,1981,630.183,101.453,125.508,307.221
17135,1981,1473.388,95.13,206.278,304.181
17055,1981,1225.93,104.432,157.533,313.779
17023,1981,785.158,94.356,146.138,301.356
17059,1981,1126.859,105.347,153.609,315.444
17075,1981,758.887,80.213,141.458,282.845
17041,1981,972.414,86.941,166.436,295.878
17189,1981,1282.295,100.793,184.063,309.436
17159,1981,609.894,102.182,121.655,308.989
17065,1981,893.537,104.837,139.532,314.213
17193,1981,725.409,107.115,132.971,314.833
17169,1981,1332.843,87.923,273.966,293.893
17181,1981,1612.168,105.947,183.724,315.051
17085,1981,212.554,73.592,72.781,272.024
17125,1981,1335.715,87.609,237.99,294.392
17191,1981,675.794,103.761,133.928,311.733
17069,1981,1539.303,103.794,172.966,314.197
17061,1981,1430.271,90.376,268.267,300.145
17157,1981,1366.205,103.947,220.476,313.563
17149,1981,1327.354,90.867,289.331,297.133
17145,1981,1277.282,104.687,185.317,313.695
17087,1981,1678.778,103.999,176.648,314.137
17173,1981,1055.536,91.656,166.918,301.271
17051,1981,1122.394,96.87,170.822,306.151
17139,1981,1106.329,89.269,171.273,297.917
17017,1981,1336.69,87.374,271.031,295.064
17015,1981,233.033,71.665,74.97,274.029
17047,1981,570.673,107.266,125.129,313.196
17079,1981,714.599,97.143,127.413,305.254
17187,1981,1197.675,79.091,174.023,284.71
17153,1981,1674.701,109.222,183.236,318.35
17165,1981,1361.053,105.063,162.353,315.786
17101,1981,554.441,104.427,117.162,309.576
17045,1981,1020.51,86.524,170.828,294.656
17071,1981,1180.445,82.18,168.109,287.504
17199,1981,1497.153,103.771,173.895,313.448
17077,1981,1414.147,108.224,199.105,316.122
17147,1981,1109.978,84.754,183.143,292.891
17053,1981,832.491,77.856,151.487,282.851
17019,1981,1025.479,80.606,174.557,287.855
17029,1981,880.474,88.519,152.595,297.477
17035,1981,758.06,92.441,136.657,301.248
17183,1981,1016.736,79.58,174.388,286.468
17115,1981,1313.32,88.036,198.755,296.953
17049,1981,820.071,94.542,145.971,304.179
17067,1981,1216.809,85.703,245.564,289.564
17095,1981,1101.062,78.237,157.439,281.89
17109,1981,1333.639,84.428,238.355,290.23
17081,1981,1083.266,101.664,151.634,310.935
17113,1981,1144.19,80.361,169.528,286.278
17039,1981,1232.779,83.172,184.584,291.403
17105,1981,804.102,78.363,144.974,281.688
17003,1981,1614.716,109.712,187.41,318.304
17093,1981,287.416,75.761,109.012,276.261
17031,1981,589.419,75.162,106.832,265.971
17037,1981,261.877,71.227,95.006,270.594
17089,1981,250.304,73.552,100.714,271.388
17063,1981,453.217,76.967,122.446,279.55
17111,1981,246.61,71.837,98.963,267.731
17197,1981,437.534,78.532,117.957,276.479
17043,1981,326.302,81.134,103.839,275.345
17097,1981,632.575,59.583,98.344,251.487
17091,1981,615.573,78.989,125.906,279.339
17011,1981,409.18,78.625,103.625,280.883
17155,1981,549.726,82.38,118.261,285.299
17099,1981,503.816,76.832,113.127,278.17
17131,1981,596.445,76.104,125.368,280.715
17161,1981,395.416,79.712,108.888,278.947
17073,1981,501.928,79.019,112.098,279.735
17103,1981,263.629,72.207,85.095,272.788
17195,1981,274.756,77.402,84.435,277.919
18039,1981,733.8,93.275,144.634,278.533
18099,1981,628.41,91.535,130.858,280.145
18141,1981,769.602,90.246,131.778,276.6
18041,1981,475.876,88.939,124.47,289.844
18177,1981,493.038,86.276,121.529,284.951
18123,1981,1132.829,95.391,129.403,302.359
18117,1981,963.81,94.958,118.455,300.974
18171,1981,856.625,80.836,160.223,286.106
18137,1981,576.824,94.806,112.202,294.47
18047,1981,534.49,94.065,123.12,294.504
18051,1981,663.413,105.856,121.621,310.711
18049,1981,560.607,89.706,120.191,280.802
18055,1981,1001.244,95.983,141.939,301.073
18139,1981,434.022,88.281,122.606,287.517
18135,1981,521.649,86.126,111.38,279.945
18087,1981,755.502,92.569,157.877,275.878
18131,1981,593.391,86.706,119.992,281.96
18149,1981,664.353,88.912,125.979,279.596
18045,1981,914.274,83.406,174.547,290.737
18159,1981,449.314,86.119,128.333,281.951
