stco,year,corn,soybean,cotton,wheat
1001,1981,17.3,19.2,494,43.1
1003,1981,101.4,25.7,768,44.7
1005,1981,37.9,20.9,561,35.9
1007,1981,NA,24.3,540,42.3
1009,1981,53.8,25.1,496,38
1011,1981,22.1,20.9,356,33.9
1013,1981,50.5,23.1,361,43.9
1015,1981,46.6,23.1,515,33.5
1017,1981,NA,19.2,546,39
1019,1981,65.5,28.6,544,44.5
1021,1981,31.8,20.1,311,40
1023,1981,45.9,21.6,399,NA
1025,1981,53.3,26.1,NA,NA
1027,1981,22.4,NA,NA,NA
1029,1981,35.7,26.9,NA,32.6
1031,1981,39.9,25.7,370,33.8
1033,1981,54.4,23.9,697,44.1
1035,1981,61.3,22.7,474,42
1037,1981,NA,NA,NA,NA
1039,1981,46.4,24.3,436,35.9
1041,1981,54.4,20.7,371,41.9
1043,1981,38.8,26.4,411,37.1
1045,1981,33.9,20.6,313,37.8
1047,1981,26,22.8,499,49.1
1049,1981,38.7,23.9,386,45.5
1051,1981,29.7,21.1,463,38
1053,1981,60.3,27.4,672,44.9
1055,1981,59.5,24.5,462,36.8
1057,1981,28.8,19.9,445,34.9
1059,1981,45.3,23.8,465,38.1
1061,1981,46.9,23.9,576,30.9
1063,1981,30,15.5,290,52.1
1065,1981,30.9,22.3,367,43
1067,1981,37.9,30.2,462,37.8
1069,1981,56.8,23.8,463,37.9
1071,1981,49.6,22.2,NA,43.5
1073,1981,NA,25,NA,NA
1075,1981,66.8,22,396,32.1
1077,1981,76.7,22.8,651,45.7
1079,1981,69.7,23,666,43.7
1081,1981,22.3,20.4,467,36
1083,1981,67.5,25.5,603,48.7
1085,1981,40.3,22.9,364,46.1
1087,1981,17.5,23.4,440,52.5
1089,1981,55.4,23.3,496,49.7
1091,1981,49,17.2,322,44
1093,1981,61.8,22.2,395,47.1
1095,1981,42.3,24.8,535,38.8
1097,1981,92.4,26.9,NA,33.8
1099,1981,75.1,26.5,553,45.9
1101,1981,42.2,20.3,601,49.1
1103,1981,33.3,23.2,527,41.8
1105,1981,41.2,17.8,264,49.1
1107,1981,55.2,15.8,275,40
1109,1981,48.9,28.2,570,39.8
1111,1981,52.3,22.5,NA,47
1113,1981,47.6,27.5,474,40.9
1115,1981,NA,21.6,NA,36.2
1117,1981,NA,20,590,43.2
1119,1981,53.2,19.8,343,42
1121,1981,54.5,21.6,395,50.6
1123,1981,25.3,22.7,401,54.7
1125,1981,34,19.7,570,48
1127,1981,40,21.7,NA,NA
1129,1981,64.3,23.8,267,38.8
1131,1981,63.5,25.3,480,44.1
1133,1981,34,20,400,33.2
4001,1981,65,NA,NA,NA
4003,1981,139.9,NA,682,85.6
4005,1981,70,NA,NA,65
4007,1981,NA,NA,NA,66
4009,1981,150,NA,954,89
4011,1981,106,NA,907,82
4012,1981,NA,NA,NA,NA
4013,1981,135,NA,1390,89.8
4015,1981,NA,NA,849,79.1
4017,1981,75,NA,NA,38
4019,1981,NA,NA,812,80.3
4021,1981,NA,NA,1372,78.7
4023,1981,86.4,NA,NA,68
4025,1981,100,NA,NA,40
4027,1981,NA,NA,1110,83.8
5001,1981,NA,30,NA,43
5003,1981,60,19,511,36
5005,1981,NA,NA,NA,NA
5007,1981,63,24,NA,34
5009,1981,60,NA,NA,NA
5011,1981,44,NA,292,39
5013,1981,48,17,290,35
5015,1981,NA,NA,NA,NA
5017,1981,63,19,498,42
5019,1981,NA,24,266,36
5021,1981,81,18,435,40
5023,1981,50,20,NA,38
5025,1981,45,23,252,37
5027,1981,NA,NA,262,35
5029,1981,60,24,NA,40
5031,1981,81,23,472,41
5033,1981,60,24,NA,43
5035,1981,70,20,521,42
5037,1981,72,24,528,42
5039,1981,NA,19,282,36
5041,1981,70,21,606,39
5043,1981,60,21,556,41
5045,1981,NA,17,NA,42
5047,1981,NA,22,NA,41
5049,1981,NA,NA,NA,NA
5051,1981,NA,NA,NA,NA
5053,1981,NA,NA,NA,NA
5055,1981,74,19,477,39
5057,1981,NA,23,416,35
5059,1981,60,22,NA,38
5061,1981,50,20,NA,36
5063,1981,60,24,NA,43
5065,1981,NA,NA,NA,NA
5067,1981,63,18,360,35
5069,1981,70,27,652,39
5071,1981,NA,20,NA,41
5073,1981,50,18,470,35
5075,1981,70,17,480,42
5077,1981,70,22,514,43
5079,1981,64,27,507,40
5081,1981,NA,18,480,39
5083,1981,NA,22,240,40
5085,1981,60,25,552,41
5087,1981,58,NA,NA,NA
5089,1981,50,NA,NA,NA
5091,1981,NA,19,655,40
5093,1981,74,25,468,44
5095,1981,NA,19,470,37
5097,1981,50,NA,NA,NA
5099,1981,47,22,NA,35
5101,1981,NA,NA,NA,NA
5103,1981,46,20,365,37
5105,1981,58,16,NA,41
5107,1981,64,22,547,39
5109,1981,NA,24,NA,35
5111,1981,81,24,482,43
5113,1981,NA,NA,NA,NA
5115,1981,48,18,NA,39
5117,1981,60,25,450,46
5119,1981,58,24,734,43
5121,1981,64,22,NA,44
5123,1981,70,21,509,44
5125,1981,NA,20,NA,38
5127,1981,48,15,NA,NA
5129,1981,NA,NA,NA,NA
5131,1981,NA,20,NA,41
5133,1981,NA,20,45,NA
5135,1981,NA,20,360,38
5137,1981,NA,22,NA,NA
5139,1981,NA,NA,NA,NA
5141,1981,NA,NA,NA,NA
5143,1981,60,23,240,34
5145,1981,60,16,360,36
5147,1981,75,21,441,44
5149,1981,48,20,NA,40
6001,1981,132,NA,NA,52.5
6003,1981,NA,NA,NA,NA
6005,1981,128,NA,NA,55.4
6007,1981,137.8,NA,NA,78
6009,1981,NA,NA,NA,NA
6011,1981,140,NA,NA,75
6013,1981,116.8,NA,NA,80
6015,1981,NA,NA,NA,NA
6017,1981,NA,NA,NA,NA
6019,1981,90,NA,1209,80
6021,1981,124,NA,NA,67
6023,1981,NA,NA,NA,NA
6025,1981,NA,NA,1125,90
6027,1981,NA,NA,NA,NA
6029,1981,100,NA,1150,84.6
6031,1981,107.6,NA,991,90.4
6033,1981,NA,NA,NA,50
6035,1981,105,NA,NA,55.8
6037,1981,NA,NA,NA,40
6039,1981,100,NA,962,77
6041,1981,NA,NA,NA,NA
6043,1981,NA,NA,NA,NA
6045,1981,NA,NA,NA,NA
6047,1981,125,NA,1063,77
6049,1981,55,NA,NA,60
6051,1981,NA,NA,NA,NA
6053,1981,140,NA,NA,34
6055,1981,NA,NA,NA,20
6057,1981,NA,NA,NA,NA
6059,1981,NA,NA,NA,NA
6061,1981,133,NA,NA,26
6063,1981,NA,NA,NA,NA
6065,1981,120,NA,1284,76
6067,1981,134,NA,NA,90.5
6069,1981,NA,NA,NA,50
6071,1981,NA,NA,NA,40
6073,1981,NA,NA,NA,33
6075,1981,NA,NA,NA,NA
6077,1981,139,NA,NA,95.4
6079,1981,NA,NA,NA,29
6081,1981,NA,NA,NA,NA
6083,1981,NA,NA,NA,36
6085,1981,NA,NA,NA,67
6087,1981,NA,NA,NA,NA
6089,1981,NA,NA,NA,38.8
6091,1981,NA,NA,NA,40
6093,1981,NA,NA,NA,80
6095,1981,138,NA,NA,86
6097,1981,NA,NA,NA,20
6099,1981,125,NA,NA,73
6101,1981,125,NA,NA,88.6
6103,1981,111,NA,NA,43
6105,1981,NA,NA,NA,NA
6107,1981,102,NA,973,81.3
6109,1981,NA,NA,NA,NA
6111,1981,NA,NA,NA,30
6113,1981,140,NA,NA,86.8
6115,1981,127.5,NA,NA,62
8001,1981,113.5,NA,NA,22.5
8003,1981,NA,NA,NA,72
8005,1981,NA,NA,NA,24.5
8007,1981,NA,NA,NA,10
8009,1981,95.5,NA,NA,18
8011,1981,98.5,NA,NA,23
8013,1981,117,NA,NA,35.5
8014,1981,NA,NA,NA,NA
8015,1981,NA,NA,NA,NA
8017,1981,123.5,NA,NA,21.5
8019,1981,NA,NA,NA,NA
8021,1981,NA,NA,NA,75
