stco,year,actual,point,p10,p50,p90
17001,2005,129.0,116.98415645584905,90.41357493887627,124.0933380750989,157.98500098629174
17003,2005,147.0,128.78786559057247,93.10340273202912,136.10395160044797,160.26522483557707
17005,2005,114.0,126.0267266448801,88.4212024231209,125.22285009228078,153.8216393508467
17007,2005,116.0,132.40950969394004,107.6681050577497,143.7254930591802,171.59471543836565
17009,2005,135.0,110.96936243658315,87.7690545064208,117.5954576436085,153.99127251525073
17011,2005,136.0,115.25624756342651,90.67011179101553,124.99710948433732,143.4912186620295
17013,2005,134.0,107.47825152885626,80.04108735109963,109.48498455793403,146.4741485702698
17015,2005,163.0,133.18248399399178,91.07775530467283,134.33919733242368,167.2662612819412
17017,2005,139.0,123.08318246554806,103.1822864638617,134.42287820465057,161.39431498285526
17019,2005,164.0,138.76249597176627,109.47648266653475,141.02649794919358,169.27750024897816
17021,2005,181.0,140.00159638677425,101.66983248025933,147.20665562400217,167.82469338040337
17023,2005,142.0,130.59650459563005,88.55340882935008,137.62168645386578,159.4288787325027
17025,2005,116.0,113.34295544016963,73.3985314103942,116.80845300292326,144.79743665269166
17027,2005,135.0,130.67296417273283,85.4293748633394,126.36953566420648,154.19500281777064
17029,2005,149.0,136.09761329634844,104.43416572888503,139.85779655578943,163.68838584114943
17031,2005,120.0,107.18775927522543,88.21091186394456,123.24748808727044,153.2989130142794
17033,2005,133.0,128.67707160248884,88.39383492555382,130.01076052470583,155.42950365620223
17035,2005,136.0,126.2033599852722,86.36824761620112,129.6074068437719,150.30874640776855
17037,2005,146.0,120.66884425979003,98.455635050274,133.27590938851617,153.39358006803792
17039,2005,162.0,139.5895335172807,104.82107578973653,142.92658838519787,166.4244113941335
17041,2005,153.0,139.13135122292846,108.6267388402176,143.53942263841037,166.48471168211927
17043,2005,105.0,105.3987992107172,78.2844172923118,114.55016801903162,146.25546710097575
17045,2005,160.0,137.62508303738605,105.1191845068659,141.2267338217768,166.99483698655706
17047,2005,114.0,120.1160956116763,79.33396319413535,124.89013521011073,148.5999180070754
17049,2005,119.0,119.0475397910092,83.73170885815269,127.25509089428691,150.63565125264986
17051,2005,117.0,129.1595450997892,86.38331653591312,129.58765571734037,147.54580776137175
17053,2005,158.0,119.6620720264012,93.56816317895496,124.08168451476092,161.74683791586637
17055,2005,117.0,116.85311426965245,71.7209614749994,120.66997003804913,145.32571362074796
17057,2005,130.0,133.14182489325407,93.61558779012127,128.8984858134832,158.73283990794613
17059,2005,145.0,125.66645533162233,89.62622584805365,131.21034157495453,156.59876130403828
17061,2005,136.0,118.52533195515292,88.38055346784162,121.5551858626629,154.05197135661513
17063,2005,122.0,109.22934437823378,87.3746581685668,124.84347172476956,158.26081890350633
17065,2005,134.0,107.10798161732806,78.79923607221058,117.15630501232106,146.28523265528062
17067,2005,142.0,135.2040708278146,98.82908857869695,129.52787549514096,166.19493270436521
17069,2005,119.0,107.92817190609009,68.40781804815538,115.37392820714587,143.75587145886803
17071,2005,155.0,133.0296520431177,93.90837189868796,132.35934343024246,165.6091690064604
17073,2005,127.0,118.42546222317333,93.68643494347805,125.73583224788328,153.9043934087967
17075,2005,167.0,127.24339162838328,101.7643057472628,130.50091033280881,166.56767717967966
17077,2005,141.0,134.60178094861348,86.97891050955225,137.45794460292228,153.3039702926406
17079,2005,120.0,125.14004093976911,85.67236506949544,129.11553037826786,149.23494441990658
17081,2005,122.0,110.98032483198793,68.19431903874596,117.77511214359468,146.65377736372935
17083,2005,136.0,121.10920640472145,81.42436568757554,123.353878688376,153.44072381775322
17085,2005,165.0,133.0722185654066,87.1515390882811,128.91389235397406,161.97027177784165
17087,2005,129.0,109.960450945744,67.77442168848755,115.61385061567267,147.22033964753194
17089,2005,121.0,110.60719678480415,94.70953734056118,128.89785673099803,154.42287396371148
17091,2005,137.0,125.74297715511695,98.45844374339435,131.91589120692146,168.99275415879015
17093,2005,110.0,111.07427982127099,92.13088852448575,126.55353356472503,155.45602456395395
17095,2005,123.0,129.20232715206464,92.38360838007543,137.0091343770954,165.50687848357109
17097,2005,84.0,95.18270991688452,69.15542646078175,110.63355341933506,148.53074452106233
17099,2005,139.0,102.77091672249243,84.46893671229756,123.01923107140783,145.7954333196854
17101,2005,135.0,119.92895885044112,84.72843939205613,126.28103252539401,154.14928554629577
17103,2005,142.0,118.35396542085475,102.50599387323861,130.52447384837856,169.58456735363856
17105,2005,145.0,94.366588938361,81.34899316985991,117.51810329430302,147.43543282252583
17107,2005,144.0,137.07425282625258,107.32483461290371,144.9935605198026,167.72036890997538
17109,2005,160.0,146.09635175525034,107.0250286699858,142.5895786375755,169.6850163075496
17111,2005,117.0,112.74397723205652,106.35096595233034,126.81735012881788,161.60234180935237
17113,2005,161.0,125.74093419035229,99.68367156661787,139.75894326648591,162.99552405068738
17115,2005,175.0,141.92889612322762,105.19840981543358,147.95960970710206,174.6538105320968
17117,2005,153.0,131.41800867246587,93.25741690054889,136.58460420616524,158.7143241055307
17119,2005,136.0,120.56154807737606,93.76117850822303,127.110368191694,157.07829761371565
17121,2005,129.0,123.86752599881034,74.09932408169365,119.77027756352223,149.1635165389439
17123,2005,142.0,117.15640813320539,87.39936660213368,122.93301712143254,146.35094864355165
17125,2005,123.0,111.28275744820584,84.27371082398965,115.92273339326339,150.66465550173902
17127,2005,139.0,124.75260685491217,90.95624559400683,125.05294172028748,152.32837148043603
17129,2005,132.0,127.34533488042257,103.03116751967667,135.6920302240096,163.68080298055565
17131,2005,155.0,120.85380574908638,93.41672898056923,131.82565193972434,162.95066142829037
17133,2005,130.0,128.80940824199547,84.52060553058932,131.96173958418498,155.54875313887416
17135,2005,159.0,126.38219056248394,94.20781474180077,132.91313914368294,158.9310993125485
17137,2005,146.0,137.59241300054737,101.39571445099301,145.17974507606922,168.3085432865962
17139,2005,172.0,133.64995076788153,104.9579896710678,138.90405206876335,159.84798204436893
17141,2005,139.0,127.72016385921148,97.05504531545655,137.32654838334463,167.34879886759384
17143,2005,119.0,120.74761286090462,88.85208515180553,119.91274801889794,147.34512790342325
17145,2005,119.0,127.46403935475007,82.4010018337327,134.91627265701,152.0744847630371
17147,2005,171.0,143.94457658586938,112.51363782130498,151.74583780008112,175.19095075738463
17149,2005,137.0,118.30502470663596,84.30542950909539,119.13855778248096,152.72926052348893
17151,2005,109.0,109.9510496144567,68.3243567117738,117.57001017049464,145.75885627973952
