stco,year,actual,point,p10,p50,p90
17001,2010,121.9,162.322473275185,140.2544773248651,160.4957692065698,173.27225253146895
17003,2010,142.8,143.3925987514518,119.7433097059122,138.1442656918716,163.55129187324772
17005,2010,152.6,140.0316333455143,119.54986804094742,136.3028737095033,160.48676401693112
17007,2010,182.5,176.29586631807783,154.7804342055485,171.68387946516526,202.97868573630123
17009,2010,119.5,163.92807660965934,139.64777395157273,169.16625182114146,181.98487252277047
17011,2010,166.7,182.64005284423675,152.4414071606894,180.59121140428613,205.68631924899125
17013,2010,156.6,151.41760512303244,131.02177679758017,152.8856019475918,169.7762291586717
17015,2010,189.8,184.52526808054935,153.5466214260701,185.1001461833983,202.67739598601352
17017,2010,148.6,179.50621980765263,151.7599739724044,180.70049547752308,193.78636551476663
17019,2010,169.5,173.27585287728277,141.65467678278853,171.80330944563985,194.74579940332464
17021,2010,157.0,183.65197920580022,140.14677061000236,185.4763406244411,202.5441830009607
17023,2010,149.1,152.27222405887971,126.00111668011075,153.2919161220637,169.3420136337191
17025,2010,145.9,128.50394187510145,110.11480487177693,128.32758577209768,153.71415423850803
17027,2010,162.7,139.7375530896059,121.91453880996201,136.77758041725718,162.21129501786174
17029,2010,167.0,169.63345485236042,138.90116591935399,165.64115383526791,185.2162635148481
17031,2010,145.7,156.78402118915892,134.30757665901803,151.8150057129897,187.42130742077484
17033,2010,143.2,144.7475748180241,119.73609946234535,139.652334968022,167.0631634496955
17035,2010,146.7,147.88259575146,119.73107099572613,144.03989021208713,171.0187272477414
17037,2010,180.4,179.1781053046467,157.86184775657404,178.730575983737,202.70980730437557
17039,2010,161.1,186.14098695167485,154.8177048532188,183.21830416832003,197.54733139448737
17041,2010,172.8,172.17278680906261,140.0542178843314,170.49752799018603,193.38975141584433
17045,2010,163.3,166.60783961953615,140.36520946650924,160.80877705350292,184.66254908494767
17047,2010,146.5,133.2458651281434,109.20880804219497,135.6294751246906,159.19500683960086
17049,2010,157.9,146.14805338271046,120.93412893414481,142.4005588100874,169.5449966759184
17051,2010,159.3,140.6115928352343,116.85432795096364,138.12757294664786,166.45232279642292
17053,2010,143.9,143.4155124289198,113.77396991678044,146.74267490177283,180.04727771128213
17055,2010,111.4,119.09694482859011,97.90315889924877,118.96617906746322,148.29824893912078
17057,2010,136.8,178.9014247334086,146.2755098996222,178.62074264283942,186.4555803959766
17059,2010,141.5,137.47506184555482,110.04476165357337,135.90164671509282,163.39397364546105
17061,2010,161.6,166.79271148801254,133.17517247347152,162.87673921520937,176.0893378823982
17063,2010,159.2,164.49285882902856,140.6785945199227,165.15492485280055,194.76924065256534
17065,2010,140.4,124.04777153075955,96.65669264513122,122.03264387811159,149.7813924709956
17067,2010,116.9,176.25250142117062,151.90161903377296,176.23200771120386,183.106149585988
17071,2010,143.8,177.6621997763124,148.9758947741038,175.10034367172636,193.36513282778222
17073,2010,158.8,182.7715285741452,154.7621766891622,183.61231748500455,205.23393964087322
