state,year,crop,yield_bu_acre,avg_temp_f,max_temp_f,min_temp_f,precip_in,drought_index,total_cropland_acres,irrigation_acre_in_per_acre,water_use_acre_in,price_per_bu
IA,2000,corn,165.26,70.43,87.06,51.28,37.29,0.0,26085785,2.01,22.0,4.3
IA,2001,corn,165.82,68.21,86.78,49.5,33.94,0.259,26223140,1.87,22.0,4.3
IA,2002,corn,137.52,71.16,89.02,52.22,33.25,1.427,25830796,2.17,22.0,4.3
IA,2003,corn,170.4,70.62,85.0,51.66,33.83,0.526,26291243,2.11,22.0,4.3
IA,2004,corn,158.84,69.19,89.01,49.83,32.5,0.459,25725076,2.03,22.0,4.3
IA,2005,corn,143.33,70.92,85.18,55.99,35.51,1.457,26189717,1.87,22.0,4.3
IA,2006,corn,118.13,69.49,85.72,52.68,34.35,2.322,26171495,2.02,22.0,4.3
IA,2007,corn,165.78,69.07,84.43,51.05,36.6,0.817,25984466,1.89,22.0,4.3
IA,2008,corn,163.67,69.35,88.18,53.02,34.77,0.949,26160464,2.15,22.0,4.3
IA,2009,corn,168.81,70.63,85.83,56.58,35.01,0.853,26024174,2.08,22.0,4.3
IA,2010,corn,181.14,68.31,86.99,51.56,31.76,0.49,25927128,2.01,22.0,4.3
IA,2011,corn,184.92,72.48,90.49,55.65,28.11,0.466,26136051,1.76,22.0,4.3
IA,2012,corn,149.1,71.24,88.6,55.42,29.85,1.85,25959807,1.9,22.0,4.3
IA,2013,corn,185.84,71.66,88.11,52.54,30.03,0.232,26355200,2.07,22.0,4.3
IA,2014,corn,175.05,71.19,86.95,53.21,32.5,0.663,25988828,2.12,22.0,4.3
IA,2015,corn,194.23,71.4,87.84,52.52,31.68,0.455,26499335,2.11,22.0,4.3
IA,2016,corn,185.31,70.03,88.36,53.25,32.36,0.605,26021683,1.84,22.0,4.3
IA,2017,corn,166.53,71.22,87.9,54.93,30.58,1.52,26204360,2.03,22.0,4.3
IA,2018,corn,187.24,68.27,82.79,53.56,30.51,0.76,26209664,2.1,22.0,4.3
IA,2019,corn,188.04,69.4,84.99,49.58,32.75,0.895,26744975,1.83,22.0,4.3
