state,year,total_cropland_acres
IA,2000,26085785
IA,2001,26223140
IA,2002,25830796
IA,2003,26291243
IA,2004,25725076
IA,2005,26189717
IA,2006,26171495
IA,2007,25984466
IA,2008,26160464
IA,2009,26024174
IA,2010,25927128
IA,2011,26136051
IA,2012,25959807
IA,2013,26355200
IA,2014,25988828
IA,2015,26499335
IA,2016,26021683
IA,2017,26204360
IA,2018,26209664
IA,2019,26744975
IA,2020,26503249
IA,2021,26380824
IA,2022,26589549
IA,2023,25920449
IL,2000,23989647
IL,2001,24498986
IL,2002,24070213
IL,2003,24073938
IL,2004,24208771
IL,2005,24311805
IL,2006,23633506
IL,2007,23728380
IL,2008,24204392
IL,2009,23999994
IL,2010,24509405
IL,2011,24134892
IL,2012,23761655
IL,2013,23942111
IL,2014,23601486
IL,2015,24231135
IL,2016,24261409
IL,2017,24223143
IL,2018,24608259
IL,2019,24656816
IL,2020,24342452
IL,2021,23882266
IL,2022,24573154
IL,2023,24577338
NE,2000,19058784
NE,2001,19201830
NE,2002,18808728
NE,2003,19428179
NE,2004,18877925
NE,2005,19218921
NE,2006,18769065
NE,2007,18928659
NE,2008,19411553
NE,2009,19086872
NE,2010,19312861
NE,2011,19212617
NE,2012,19162266
NE,2013,19459426
NE,2014,19167331
NE,2015,18885599
NE,2016,19088630
NE,2017,19364550
NE,2018,19349828
NE,2019,18986533
NE,2020,19164172
NE,2021,19206816
NE,2022,19263738
NE,2023,19083366
MN,2000,20868042
MN,2001,20863669
MN,2002,21195881
MN,2003,21220723
MN,2004,21036481
MN,2005,21001342
MN,2006,21130325
MN,2007,20945158
MN,2008,20892023
MN,2009,20952331
MN,2010,21033622
MN,2011,20938320
MN,2012,21235959
MN,2013,21373233
MN,2014,20898176
MN,2015,21257340
MN,2016,21222022
MN,2017,21358292
MN,2018,21299643
MN,2019,21009304
MN,2020,21066656
MN,2021,21359082
MN,2022,21589446
MN,2023,20912865
IN,2000,13044944
IN,2001,13165174
IN,2002,13000874
IN,2003,13102897
IN,2004,12949908
IN,2005,13036420
IN,2006,12850669
IN,2007,12766328
IN,2008,13206543
IN,2009,12964628
IN,2010,13044307
IN,2011,12932576
IN,2012,12939744
IN,2013,13112366
IN,2014,13049692
IN,2015,13205725
IN,2016,13225983
IN,2017,13219077
IN,2018,13218664
IN,2019,13405827
IN,2020,13066992
IN,2021,13211138
IN,2022,13378641
IN,2023,13406614
KS,2000,26616123
KS,2001,26937196
KS,2002,27410479
KS,2003,27202310
KS,2004,27139289
KS,2005,27048990
KS,2006,27025476
KS,2007,27229454
KS,2008,27104222
KS,2009,27182820
KS,2010,27237391
KS,2011,27052909
KS,2012,27404254
KS,2013,28075829
KS,2014,26817239
KS,2015,27412533
KS,2016,27137721
KS,2017,27525218
KS,2018,27401551
KS,2019,27619227
KS,2020,27754464
KS,2021,27506426
KS,2022,27786233
KS,2023,26852193
OH,2000,11174949
OH,2001,11050089
OH,2002,11136352
OH,2003,10891891
OH,2004,10943522
OH,2005,11060117
OH,2006,11050916
OH,2007,11092911
OH,2008,11190460
OH,2009,10883627
OH,2010,11195977
OH,2011,11097719
OH,2012,11082968
OH,2013,10950894
OH,2014,11179155
OH,2015,10863261
OH,2016,11213036
OH,2017,10983236
OH,2018,11164365
OH,2019,11153892
OH,2020,11306707
OH,2021,11164817
OH,2022,11115900
OH,2023,11145648
SD,2000,17216390
SD,2001,17104843
SD,2002,16961538
SD,2003,17000507
SD,2004,16787127
SD,2005,17134304
SD,2006,16780995
SD,2007,17223721
