state,year,drought_index
IA,2000,0.0
IA,2001,0.259
IA,2002,1.427
IA,2003,0.526
IA,2004,0.459
IA,2005,1.457
IA,2006,2.322
IA,2007,0.817
IA,2008,0.949
IA,2009,0.853
IA,2010,0.49
IA,2011,0.466
IA,2012,1.85
IA,2013,0.232
IA,2014,0.663
IA,2015,0.455
IA,2016,0.605
IA,2017,1.52
IA,2018,0.76
IA,2019,0.895
IA,2020,0.936
IA,2021,0.022
IA,2022,2.063
IA,2023,0.934
IL,2000,0.229
IL,2001,0.012
IL,2002,2.048
IL,2003,0.434
IL,2004,0.537
IL,2005,1.307
IL,2006,1.879
IL,2007,0.973
IL,2008,0.778
IL,2009,1.232
IL,2010,0.688
IL,2011,0.673
IL,2012,2.184
IL,2013,0.857
IL,2014,1.163
IL,2015,0.263
IL,2016,0.069
IL,2017,2.066
IL,2018,0.671
IL,2019,1.351
IL,2020,0.726
IL,2021,0.535
IL,2022,1.303
IL,2023,1.335
NE,2000,1.791
NE,2001,0.95
NE,2002,1.831
NE,2003,1.121
NE,2004,1.937
NE,2005,1.576
NE,2006,1.508
NE,2007,1.059
NE,2008,1.005
NE,2009,1.231
NE,2010,1.075
NE,2011,1.793
NE,2012,2.11
NE,2013,1.413
NE,2014,1.392
NE,2015,1.704
NE,2016,0.613
NE,2017,2.117
NE,2018,0.864
NE,2019,1.439
NE,2020,1.194
NE,2021,1.253
NE,2022,2.507
NE,2023,1.443
MN,2000,0.0
MN,2001,0.059
MN,2002,1.906
MN,2003,0.884
MN,2004,1.004
MN,2005,0.779
MN,2006,2.03
MN,2007,0.429
MN,2008,1.231
MN,2009,0.737
MN,2010,0.557
MN,2011,0.284
MN,2012,1.329
MN,2013,0.831
MN,2014,1.127
MN,2015,0.84
MN,2016,1.13
MN,2017,1.292
MN,2018,1.475
MN,2019,0.586
MN,2020,0.243
MN,2021,0.737
MN,2022,2.08
MN,2023,0.882
IN,2000,0.0
IN,2001,0.0
IN,2002,1.851
IN,2003,0.816
IN,2004,1.152
IN,2005,1.062
IN,2006,1.548
IN,2007,0.755
IN,2008,0.0
IN,2009,0.436
IN,2010,0.654
IN,2011,0.377
IN,2012,1.532
IN,2013,0.86
IN,2014,0.575
IN,2015,0.576
IN,2016,0.645
IN,2017,2.82
IN,2018,0.011
IN,2019,0.0
IN,2020,0.597
IN,2021,0.249
IN,2022,2.317
IN,2023,0.177
KS,2000,1.98
KS,2001,1.588
KS,2002,3.246
KS,2003,1.286
KS,2004,0.802
KS,2005,1.343
KS,2006,2.705
KS,2007,1.052
KS,2008,1.393
KS,2009,0.754
KS,2010,1.509
KS,2011,2.353
KS,2012,3.262
KS,2013,1.208
KS,2014,1.526
KS,2015,1.087
KS,2016,1.845
KS,2017,1.887
KS,2018,1.681
KS,2019,0.775
KS,2020,1.851
KS,2021,1.513
KS,2022,3.35
KS,2023,1.723
OH,2000,0.092
OH,2001,0.707
OH,2002,2.892
OH,2003,0.756
OH,2004,0.755
OH,2005,0.0
OH,2006,2.013
OH,2007,0.0
OH,2008,0.505
OH,2009,0.44
OH,2010,0.0
OH,2011,0.516
OH,2012,2.351
OH,2013,0.419
OH,2014,0.625
OH,2015,0.308
OH,2016,0.0
OH,2017,0.964
OH,2018,0.199
OH,2019,0.366
OH,2020,0.552
OH,2021,0.888
OH,2022,2.241
OH,2023,0.107
SD,2000,1.632
SD,2001,1.412
SD,2002,2.577
SD,2003,1.679
SD,2004,1.798
SD,2005,1.077
SD,2006,1.92
SD,2007,1.241
SD,2008,0.789
SD,2009,1.522
SD,2010,1.512
SD,2011,1.348
SD,2012,2.784
SD,2013,1.959
SD,2014,1.676
SD,2015,1.78
SD,2016,1.453
SD,2017,2.557
SD,2018,1.463
SD,2019,1.286
SD,2020,1.314
SD,2021,0.9
SD,2022,3.012
SD,2023,1.553
MO,2000,0.679
MO,2001,1.326
MO,2002,2.333
MO,2003,0.801
MO,2004,0.952
MO,2005,0.382
MO,2006,2.404
MO,2007,0.654
MO,2008,1.275
MO,2009,0.799
MO,2010,0.418
MO,2011,0.456
MO,2012,2.431
MO,2013,0.86
MO,2014,1.382
MO,2015,0.371
MO,2016,0.354
MO,2017,3.114
MO,2018,0.973
MO,2019,0.183
MO,2020,1.118
MO,2021,1.432
MO,2022,2.567
MO,2023,0.482
ND,2000,0.739
ND,2001,1.055
ND,2002,2.44
ND,2003,1.102
ND,2004,1.753
ND,2005,1.164
ND,2006,2.756
ND,2007,1.612
ND,2008,1.479
ND,2009,0.633
ND,2010,0.806
ND,2011,1.055
ND,2012,1.961
ND,2013,0.672
ND,2014,0.649
ND,2015,1.813
ND,2016,1.984
ND,2017,2.001
ND,2018,0.915
ND,2019,1.004
ND,2020,0.476
ND,2021,1.716
ND,2022,2.295
ND,2023,0.726
WI,2000,0.828
WI,2001,1.273
WI,2002,1.74
WI,2003,0.721
WI,2004,1.296
WI,2005,0.421
WI,2006,2.393
WI,2007,0.351
WI,2008,0.513
WI,2009,0.624
WI,2010,0.93
WI,2011,0.703
WI,2012,2.387
WI,2013,0.0
WI,2014,0.128
WI,2015,1.334
WI,2016,0.296
WI,2017,2.186
WI,2018,0.17
WI,2019,0.787
WI,2020,0.771
WI,2021,0.731
WI,2022,1.589
WI,2023,0.397
TX,2000,1.107
TX,2001,2.331
TX,2002,2.825
TX,2003,1.916
TX,2004,1.734
TX,2005,1.935
TX,2006,2.298
TX,2007,1.236
TX,2008,1.568
TX,2009,2.005
TX,2010,2.347
TX,2011,1.811
TX,2012,3.006
TX,2013,1.692
TX,2014,1.767
TX,2015,1.534
TX,2016,1.916
TX,2017,3.785
TX,2018,2.72
TX,2019,1.51
TX,2020,1.285
TX,2021,2.25
TX,2022,2.644
TX,2023,1.846
