state,year,avg_temp_f,max_temp_f,min_temp_f,precip_in,drought_index
IA,2000,70.43,87.06,51.28,37.29,0.0
IA,2001,68.21,86.78,49.5,33.94,0.259
IA,2002,71.16,89.02,52.22,33.25,1.427
IA,2003,70.62,85.0,51.66,33.83,0.526
IA,2004,69.19,89.01,49.83,32.5,0.459
IA,2005,70.92,85.18,55.99,35.51,1.457
IA,2006,69.49,85.72,52.68,34.35,2.322
IA,2007,69.07,84.43,51.05,36.6,0.817
IA,2008,69.35,88.18,53.02,34.77,0.949
IA,2009,70.63,85.83,56.58,35.01,0.853
IA,2010,68.31,86.99,51.56,31.76,0.49
IA,2011,72.48,90.49,55.65,28.11,0.466
IA,2012,71.24,88.6,55.42,29.85,1.85
IA,2013,71.66,88.11,52.54,30.03,0.232
IA,2014,71.19,86.95,53.21,32.5,0.663
IA,2015,71.4,87.84,52.52,31.68,0.455
IA,2016,70.03,88.36,53.25,32.36,0.605
IA,2017,71.22,87.9,54.93,30.58,1.52
IA,2018,68.27,82.79,53.56,30.51,0.76
IA,2019,69.4,84.99,49.58,32.75,0.895
IA,2020,69.39,85.03,54.81,32.81,0.936
IA,2021,68.32,84.15,50.84,31.92,0.022
IA,2022,70.03,86.62,52.26,36.43,2.063
IA,2023,69.37,85.87,55.12,38.76,0.934
IL,2000,72.5,87.12,54.97,35.76,0.229
IL,2001,71.49,87.57,53.94,37.22,0.012
IL,2002,72.51,87.01,55.59,45.27,2.048
IL,2003,70.72,87.56,55.12,35.15,0.434
IL,2004,71.28,85.41,52.33,38.55,0.537
IL,2005,70.73,85.38,52.69,37.81,1.307
IL,2006,73.59,93.08,58.2,31.05,1.879
IL,2007,75.22,94.2,56.38,34.84,0.973
IL,2008,72.82,89.91,57.28,35.71,0.778
IL,2009,71.68,88.29,51.72,38.6,1.232
IL,2010,72.57,91.93,55.46,42.57,0.688
IL,2011,71.81,88.05,57.24,43.38,0.673
IL,2012,70.5,85.24,51.52,33.41,2.184
IL,2013,74.5,93.75,59.32,34.87,0.857
IL,2014,71.94,88.94,57.07,39.18,1.163
IL,2015,72.65,90.72,57.92,37.83,0.263
IL,2016,70.85,86.05,52.03,41.21,0.069
IL,2017,71.92,87.72,54.99,37.76,2.066
IL,2018,72.41,91.96,58.26,38.85,0.671
IL,2019,71.15,85.99,54.63,46.81,1.351
IL,2020,71.51,90.33,54.7,35.93,0.726
IL,2021,74.42,93.4,55.64,30.48,0.535
IL,2022,72.03,88.27,55.47,34.46,1.303
IL,2023,70.75,86.24,55.33,34.16,1.335
NE,2000,75.07,89.47,57.5,25.2,1.791
NE,2001,69.65,84.52,50.13,25.52,0.95
NE,2002,69.15,83.27,54.81,23.44,1.831
NE,2003,71.77,89.85,55.4,25.23,1.121
NE,2004,71.14,90.25,56.88,23.66,1.937
NE,2005,73.38,89.88,59.08,20.11,1.576
NE,2006,71.88,86.48,52.82,24.36,1.508
NE,2007,70.58,89.26,52.73,22.98,1.059
NE,2008,70.93,88.01,51.78,15.02,1.005
NE,2009,71.56,87.16,56.72,17.85,1.231
NE,2010,73.77,89.97,57.57,22.85,1.075
NE,2011,69.91,85.69,50.22,26.04,1.793
NE,2012,72.03,91.13,54.12,25.27,2.11
NE,2013,71.55,87.28,53.14,19.88,1.413
NE,2014,71.22,88.91,56.65,30.37,1.392
NE,2015,69.32,84.15,49.57,22.19,1.704
NE,2016,72.45,91.22,52.78,24.11,0.613
NE,2017,72.03,89.42,54.6,14.69,2.117
NE,2018,71.73,90.53,54.78,16.78,0.864
NE,2019,72.49,87.19,57.97,25.29,1.439
NE,2020,70.9,88.93,54.9,24.82,1.194
NE,2021,72.11,88.3,56.23,23.47,1.253
NE,2022,70.29,86.59,51.91,18.9,2.507
NE,2023,72.09,88.96,55.83,28.65,1.443
MN,2000,68.18,82.89,49.08,29.28,0.0
MN,2001,69.28,87.4,55.21,34.58,0.059
MN,2002,64.83,81.48,49.02,29.86,1.906
