state,year,crop,yield_bu_acre
IA,2000,corn,165.26
IA,2000,soybean,45.39
IA,2000,wheat,40.14
IA,2001,corn,165.82
IA,2001,soybean,47.04
IA,2001,wheat,37.32
IA,2002,corn,137.52
IA,2002,soybean,45.44
IA,2002,wheat,30.9
IA,2003,corn,170.4
IA,2003,soybean,48.08
IA,2003,wheat,33.66
IA,2004,corn,158.84
IA,2004,soybean,42.05
IA,2004,wheat,37.65
IA,2005,corn,143.33
IA,2005,soybean,39.4
IA,2005,wheat,30.23
IA,2006,corn,118.13
IA,2006,soybean,30.09
IA,2006,wheat,26.41
IA,2007,corn,165.78
IA,2007,soybean,47.44
IA,2007,wheat,30.06
IA,2008,corn,163.67
IA,2008,soybean,49.66
IA,2008,wheat,38.91
IA,2009,corn,168.81
IA,2009,soybean,47.85
IA,2009,wheat,31.9
IA,2010,corn,181.14
IA,2010,soybean,49.82
IA,2010,wheat,44.56
IA,2011,corn,184.92
IA,2011,soybean,57.09
IA,2011,wheat,37.63
IA,2012,corn,149.1
IA,2012,soybean,46.77
IA,2012,wheat,30.46
IA,2013,corn,185.84
IA,2013,soybean,61.86
IA,2013,wheat,40.67
IA,2014,corn,175.05
IA,2014,soybean,51.86
IA,2014,wheat,40.59
IA,2015,corn,194.23
IA,2015,soybean,54.82
IA,2015,wheat,44.39
IA,2016,corn,185.31
IA,2016,soybean,51.86
IA,2016,wheat,41.32
IA,2017,corn,166.53
IA,2017,soybean,50.38
IA,2017,wheat,39.6
IA,2018,corn,187.24
IA,2018,soybean,52.58
IA,2018,wheat,43.22
IA,2019,corn,188.04
IA,2019,soybean,52.86
IA,2019,wheat,41.58
IA,2020,corn,193.59
IA,2020,soybean,54.34
IA,2020,wheat,40.95
IA,2021,corn,212.7
IA,2021,soybean,58.37
IA,2021,wheat,47.44
IA,2022,corn,152.92
IA,2022,soybean,51.59
IA,2022,wheat,30.28
IA,2023,corn,194.05
IA,2023,soybean,56.05
IA,2023,wheat,35.86
IL,2000,corn,182.36
IL,2000,soybean,48.71
IL,2000,wheat,31.64
IL,2001,corn,169.52
IL,2001,soybean,50.05
IL,2001,wheat,32.85
IL,2002,corn,117.73
IL,2002,soybean,36.89
IL,2002,wheat,21.82
IL,2003,corn,168.33
IL,2003,soybean,48.2
IL,2003,wheat,44.93
IL,2004,corn,168.91
IL,2004,soybean,46.53
IL,2004,wheat,27.15
IL,2005,corn,139.57
IL,2005,soybean,46.5
IL,2005,wheat,27.72
IL,2006,corn,129.51
IL,2006,soybean,41.63
IL,2006,wheat,29.98
IL,2007,corn,142.86
IL,2007,soybean,44.35
IL,2007,wheat,24.98
IL,2008,corn,171.18
IL,2008,soybean,51.29
IL,2008,wheat,26.63
IL,2009,corn,160.04
IL,2009,soybean,44.25
IL,2009,wheat,26.05
IL,2010,corn,161.61
IL,2010,soybean,53.66
IL,2010,wheat,26.75
IL,2011,corn,175.18
IL,2011,soybean,53.48
IL,2011,wheat,35.82
IL,2012,corn,120.76
IL,2012,soybean,38.72
IL,2012,wheat,28.92
IL,2013,corn,162.17
IL,2013,soybean,48.69
IL,2013,wheat,26.21
IL,2014,corn,157.88
IL,2014,soybean,50.29
IL,2014,wheat,28.61
IL,2015,corn,201.17
IL,2015,soybean,58.81
IL,2015,wheat,33.97
IL,2016,corn,202.46
IL,2016,soybean,63.35
IL,2016,wheat,32.59
IL,2017,corn,129.65
IL,2017,soybean,41.03
IL,2017,wheat,20.4
IL,2018,corn,190.54
IL,2018,soybean,54.93
IL,2018,wheat,28.45
IL,2019,corn,173.44
IL,2019,soybean,47.95
IL,2019,wheat,23.02
IL,2020,corn,190.09
IL,2020,soybean,53.28
IL,2020,wheat,35.43
IL,2021,corn,197.21
IL,2021,soybean,53.51
IL,2021,wheat,32.31
IL,2022,corn,180.0
IL,2022,soybean,52.44
IL,2022,wheat,30.55
IL,2023,corn,177.79
IL,2023,soybean,51.92
IL,2023,wheat,36.91
NE,2000,corn,117.78
NE,2000,soybean,42.15
NE,2000,wheat,23.27
NE,2001,corn,143.7
NE,2001,soybean,45.03
NE,2001,wheat,41.19
NE,2002,corn,118.76
NE,2002,soybean,39.92
NE,2002,wheat,40.28
NE,2003,corn,155.72
NE,2003,soybean,50.6
NE,2003,wheat,31.59
NE,2004,corn,124.29
NE,2004,soybean,39.55
NE,2004,wheat,33.12
NE,2005,corn,124.68
NE,2005,soybean,37.72
NE,2005,wheat,31.32
NE,2006,corn,134.91
NE,2006,soybean,44.13
NE,2006,wheat,31.12
NE,2007,corn,146.9
NE,2007,soybean,47.09
NE,2007,wheat,39.79
NE,2008,corn,149.7
NE,2008,soybean,51.28
NE,2008,wheat,39.75
NE,2009,corn,149.55
NE,2009,soybean,42.03
NE,2009,wheat,32.12
NE,2010,corn,165.56
NE,2010,soybean,45.92
NE,2010,wheat,28.65
NE,2011,corn,141.06
NE,2011,soybean,42.5
NE,2011,wheat,33.78
NE,2012,corn,130.32
NE,2012,soybean,45.93
NE,2012,wheat,29.6
NE,2013,corn,141.31
NE,2013,soybean,49.3
NE,2013,wheat,39.69
NE,2014,corn,158.14
NE,2014,soybean,43.78
NE,2014,wheat,32.86
NE,2015,corn,146.19
NE,2015,soybean,47.2
NE,2015,wheat,36.53
NE,2016,corn,186.3
NE,2016,soybean,57.59
NE,2016,wheat,29.94
NE,2017,corn,133.8
NE,2017,soybean,37.54
NE,2017,wheat,35.31
NE,2018,corn,173.72
NE,2018,soybean,55.0
NE,2018,wheat,43.08
NE,2019,corn,149.34
NE,2019,soybean,48.32
NE,2019,wheat,36.93
NE,2020,corn,176.33
NE,2020,soybean,53.61
NE,2020,wheat,44.5
NE,2021,corn,179.39
NE,2021,soybean,52.01
NE,2021,wheat,31.65
NE,2022,corn,124.78
NE,2022,soybean,41.77
NE,2022,wheat,32.88
NE,2023,corn,180.66
NE,2023,soybean,55.45
NE,2023,wheat,37.54
MN,2000,corn,146.82
MN,2000,soybean,43.33
MN,2000,wheat,50.29
MN,2001,corn,169.18
MN,2001,soybean,42.98
MN,2001,wheat,42.46
MN,2002,corn,103.53
MN,2002,soybean,32.62
MN,2002,wheat,37.82
MN,2003,corn,134.83
MN,2003,soybean,36.82
MN,2003,wheat,45.25
MN,2004,corn,165.14
MN,2004,soybean,45.62
