state,year,irrigation_acre_in_per_acre
IA,2000,2.01
IA,2001,1.87
IA,2002,2.17
IA,2003,2.11
IA,2004,2.03
IA,2005,1.87
IA,2006,2.02
IA,2007,1.89
IA,2008,2.15
IA,2009,2.08
IA,2010,2.01
IA,2011,1.76
IA,2012,1.9
IA,2013,2.07
IA,2014,2.12
IA,2015,2.11
IA,2016,1.84
IA,2017,2.03
IA,2018,2.1
IA,2019,1.83
IA,2020,2.0
IA,2021,2.03
IA,2022,1.97
IA,2023,1.81
IL,2000,1.97
IL,2001,1.97
IL,2002,1.99
IL,2003,1.94
IL,2004,1.96
IL,2005,2.0
IL,2006,2.04
IL,2007,1.97
IL,2008,1.96
IL,2009,2.01
IL,2010,1.81
IL,2011,2.05
IL,2012,2.0
IL,2013,2.0
IL,2014,2.1
IL,2015,1.8
IL,2016,1.8
IL,2017,2.03
IL,2018,2.0
IL,2019,2.02
IL,2020,1.95
IL,2021,2.07
IL,2022,2.09
IL,2023,2.05
NE,2000,13.82
NE,2001,12.52
NE,2002,14.54
NE,2003,14.86
NE,2004,14.45
NE,2005,13.38
NE,2006,14.47
NE,2007,14.6
NE,2008,15.09
NE,2009,13.39
NE,2010,13.84
NE,2011,14.52
NE,2012,14.04
NE,2013,13.22
NE,2014,14.29
NE,2015,14.41
NE,2016,14.06
NE,2017,14.15
NE,2018,13.82
NE,2019,15.03
NE,2020,13.37
NE,2021,13.59
NE,2022,14.01
NE,2023,14.62
MN,2000,2.78
MN,2001,2.8
MN,2002,2.69
MN,2003,3.0
MN,2004,2.83
MN,2005,2.94
MN,2006,3.1
MN,2007,2.9
MN,2008,3.03
MN,2009,2.96
MN,2010,3.1
MN,2011,3.07
MN,2012,2.9
MN,2013,2.97
MN,2014,3.16
MN,2015,3.06
MN,2016,2.79
MN,2017,3.1
MN,2018,2.84
MN,2019,3.21
MN,2020,3.15
MN,2021,3.04
MN,2022,3.02
MN,2023,2.97
IN,2000,2.07
IN,2001,1.96
IN,2002,2.02
IN,2003,2.09
IN,2004,1.94
IN,2005,1.94
IN,2006,1.88
IN,2007,1.89
IN,2008,1.82
IN,2009,2.07
IN,2010,2.18
IN,2011,2.14
IN,2012,1.84
IN,2013,2.07
IN,2014,2.14
IN,2015,1.95
IN,2016,2.01
IN,2017,1.8
IN,2018,2.03
IN,2019,1.89
IN,2020,2.02
IN,2021,1.84
IN,2022,2.05
IN,2023,2.1
KS,2000,10.57
KS,2001,10.37
KS,2002,9.81
KS,2003,10.85
KS,2004,10.68
KS,2005,10.15
KS,2006,11.25
KS,2007,10.75
KS,2008,10.41
KS,2009,10.69
KS,2010,11.59
KS,2011,11.33
KS,2012,10.93
KS,2013,11.34
KS,2014,10.36
KS,2015,11.02
KS,2016,11.08
KS,2017,10.74
KS,2018,11.24
KS,2019,10.57
KS,2020,11.28
KS,2021,11.3
KS,2022,9.4
KS,2023,11.65
OH,2000,1.27
OH,2001,1.45
OH,2002,1.58
OH,2003,1.48
OH,2004,1.39
OH,2005,1.42
OH,2006,1.58
OH,2007,1.36
OH,2008,1.58
OH,2009,1.5
OH,2010,1.41
OH,2011,1.46
OH,2012,1.42
OH,2013,1.56
OH,2014,1.55
OH,2015,1.37
OH,2016,1.47
OH,2017,1.44
OH,2018,1.6
OH,2019,1.4
OH,2020,1.62
OH,2021,1.5
OH,2022,1.41
OH,2023,1.45
SD,2000,3.84
SD,2001,3.75
SD,2002,4.02
SD,2003,3.75
SD,2004,3.56
SD,2005,3.92
SD,2006,3.64
SD,2007,3.85
SD,2008,3.82
SD,2009,3.83
SD,2010,4.4
SD,2011,4.01
SD,2012,4.05
SD,2013,3.64
SD,2014,3.87
SD,2015,4.04
SD,2016,3.8
SD,2017,4.18
SD,2018,3.76
SD,2019,3.94
SD,2020,3.88
SD,2021,4.03
SD,2022,3.87
SD,2023,3.95
MO,2000,3.46
MO,2001,3.37
MO,2002,3.58
MO,2003,3.54
MO,2004,3.48
MO,2005,3.42
MO,2006,3.64
MO,2007,3.46
MO,2008,3.45
MO,2009,3.52
MO,2010,3.8
MO,2011,3.27
MO,2012,3.63
MO,2013,3.17
MO,2014,3.54
MO,2015,3.78
MO,2016,3.59
MO,2017,3.53
MO,2018,3.4
MO,2019,3.51
MO,2020,3.46
MO,2021,3.36
MO,2022,3.45
MO,2023,3.53
ND,2000,2.4
ND,2001,2.4
ND,2002,2.33
ND,2003,2.55
ND,2004,2.57
ND,2005,2.53
ND,2006,2.62
ND,2007,2.51
ND,2008,2.55
ND,2009,2.54
ND,2010,2.49
ND,2011,2.43
ND,2012,2.78
ND,2013,2.44
ND,2014,2.42
ND,2015,2.55
ND,2016,2.53
ND,2017,2.32
ND,2018,2.64
ND,2019,2.49
ND,2020,2.36
ND,2021,2.65
ND,2022,2.58
ND,2023,2.34
WI,2000,3.27
WI,2001,3.1
WI,2002,3.0
WI,2003,3.24
WI,2004,3.02
WI,2005,3.0
WI,2006,2.9
WI,2007,3.09
WI,2008,3.07
WI,2009,3.0
WI,2010,2.88
WI,2011,3.02
WI,2012,2.99
WI,2013,2.8
WI,2014,2.78
WI,2015,3.08
WI,2016,2.61
WI,2017,3.03
WI,2018,2.93
WI,2019,3.2
WI,2020,2.93
WI,2021,3.1
WI,2022,2.94
WI,2023,3.02
TX,2000,13.48
TX,2001,12.7
TX,2002,13.65
TX,2003,12.35
TX,2004,13.19
TX,2005,13.6
TX,2006,13.43
TX,2007,14.25
TX,2008,12.5
TX,2009,12.1
TX,2010,12.35
TX,2011,13.43
TX,2012,13.32
TX,2013,13.07
TX,2014,12.27
TX,2015,13.5
TX,2016,12.2
TX,2017,13.75
TX,2018,14.86
TX,2019,13.24
TX,2020,13.38
TX,2021,12.68
TX,2022,11.82
TX,2023,12.61
