crop,model,rmse,mae,r2,cv_rmse,is_best
corn,catboost,34.176790833422395,28.700276210320844,-0.1642847355422592,23.737662436922655,True
corn,random_forest,34.51542095993614,29.158495324467463,-0.18747094398464514,23.810985281278075,False
corn,xgboost,35.51384797828376,29.874464680989583,-0.2571644897044565,25.343881810538385,False
corn,lightgbm,38.225890399917134,32.08320173895537,-0.45650460888409783,25.60473085028415,False
soybean,random_forest,8.189465031178274,6.811175784927648,-0.12859246662037305,6.040035755281508,True
soybean,catboost,8.28715201491238,6.991577461068491,-0.15567759069360187,6.0620903872422875,False
soybean,xgboost,8.586710408778586,7.167892133076985,-0.2407369444154548,6.290180077589005,False
soybean,lightgbm,8.945118082902301,7.41716744855392,-0.34647482347929337,6.284329126585108,False
wheat,xgboost,6.162565421895801,5.297066532135008,0.6240379719860343,5.465093749084402,True
wheat,random_forest,6.354713096650779,5.385299062069971,0.6002276127937031,5.2930100838384035,False
wheat,catboost,6.4045314846348775,5.327415338690948,0.5939349344765046,5.275931263920763,False
wheat,lightgbm,6.717759782475302,5.6522702761914,0.5532445717090753,5.709423512171864,False
