bbl,borough,block,lot,address,zonedist1,lotarea,bldgarea,builtfar,residfar,commfar,facilfar,numfloors,latitude,longitude
1000000000,MN,1,1,SAMPLE LOT 0,C6-2,1456.0,5198.0,3.57,0.0,6.0,6.0,4.0,40.75,-73.99
1000000001,MN,1,2,SAMPLE LOT 1,C6-4,6975.0,63682.0,9.13,0.0,10.0,10.0,11.0,40.75,-73.9892
1000000002,MN,1,3,SAMPLE LOT 2,C6-4,3499.0,32016.0,9.15,0.0,10.0,10.0,11.0,40.75,-73.9884
1000000003,MN,1,4,SAMPLE LOT 3,M1-5,4654.0,12612.0,2.71,0.0,5.0,5.0,3.0,40.75,-73.9876
1000000004,MN,1,5,SAMPLE LOT 4,M1-6,8065.0,73472.0,9.11,0.0,10.0,10.0,11.0,40.75,-73.98679999999999
1000000005,MN,1,6,SAMPLE LOT 5,C6-4,1189.0,6706.0,5.64,0.0,10.0,10.0,7.0,40.75,-73.98599999999999
1000000006,MN,1,7,SAMPLE LOT 6,M1-2,2310.0,2518.0,1.09,0.0,2.0,2.0,1.0,40.75,-73.98519999999999
1000000007,MN,1,8,SAMPLE LOT 7,C6-4,4522.0,35814.0,7.92,0.0,10.0,10.0,10.0,40.75,-73.9844
1000000008,MN,1,9,SAMPLE LOT 8,C6-4,5263.0,31894.0,6.06,0.0,10.0,10.0,7.0,40.75,-73.9836
1000000009,MN,1,10,SAMPLE LOT 9,M2-3,3072.0,3625.0,1.18,0.0,2.0,2.0,1.0,40.75,-73.9828
1000000010,MN,1,11,SAMPLE LOT 10,M1-6,8221.0,45298.0,5.51,0.0,10.0,10.0,7.0,40.75,-73.982
1000000011,MN,1,12,SAMPLE LOT 11,M1-5,4635.0,13488.0,2.91,0.0,5.0,5.0,3.0,40.75,-73.9812
1000000012,MN,1,13,SAMPLE LOT 12,M1-5,1711.0,3336.0,1.95,0.0,5.0,5.0,2.0,40.75,-73.98039999999999
1000000013,MN,1,14,SAMPLE LOT 13,M2-3,2085.0,1418.0,0.68,0.0,2.0,2.0,1.0,40.75,-73.97959999999999
1000000014,MN,1,15,SAMPLE LOT 14,M3-1,7030.0,11107.0,1.58,0.0,2.0,2.0,2.0,40.75,-73.97879999999999
1000000015,MN,1,16,SAMPLE LOT 15,C6-2,5534.0,22136.0,4.0,0.0,6.0,6.0,5.0,40.75,-73.978
1000000016,MN,1,17,SAMPLE LOT 16,C5-3,1059.0,11702.0,11.05,0.0,15.0,15.0,13.0,40.75,-73.9772
1000000017,MN,1,18,SAMPLE LOT 17,C6-4,10275.0,84460.0,8.22,0.0,10.0,10.0,10.0,40.75,-73.9764
1000000018,MN,1,19,SAMPLE LOT 18,C6-2,6079.0,16413.0,2.7,0.0,6.0,6.0,3.0,40.75,-73.9756
1000000019,MN,1,20,SAMPLE LOT 19,C5-3,10243.0,69448.0,6.78,0.0,15.0,15.0,8.0,40.75,-73.9748
1000000020,MN,2,1,SAMPLE LOT 20,M1-5,3058.0,7339.0,2.4,0.0,5.0,5.0,3.0,40.7508,-73.99
1000000021,MN,2,2,SAMPLE LOT 21,M1-5,3252.0,8097.0,2.49,0.0,5.0,5.0,3.0,40.7508,-73.9892
1000000022,MN,2,3,SAMPLE LOT 22,C6-2,1818.0,8672.0,4.77,0.0,6.0,6.0,6.0,40.7508,-73.9884
1000000023,MN,2,4,SAMPLE LOT 23,M1-2,23621.0,25747.0,1.09,0.0,2.0,2.0,1.0,40.7508,-73.9876
1000000024,MN,2,5,SAMPLE LOT 24,M1-2,3538.0,3609.0,1.02,0.0,2.0,2.0,1.0,40.7508,-73.98679999999999
1000000025,MN,2,6,SAMPLE LOT 25,M3-1,12153.0,17379.0,1.43,0.0,2.0,2.0,2.0,40.7508,-73.98599999999999
1000000026,MN,2,7,SAMPLE LOT 26,M2-3,2543.0,2136.0,0.84,0.0,2.0,2.0,1.0,40.7508,-73.98519999999999
1000000027,MN,2,8,SAMPLE LOT 27,C5-3,4486.0,24852.0,5.54,0.0,15.0,15.0,7.0,40.7508,-73.9844
1000000028,MN,2,9,SAMPLE LOT 28,C6-2,1242.0,5614.0,4.52,0.0,6.0,6.0,5.0,40.7508,-73.9836
1000000029,MN,2,10,SAMPLE LOT 29,M3-1,3060.0,4835.0,1.58,0.0,2.0,2.0,2.0,40.7508,-73.9828
1000000030,MN,2,11,SAMPLE LOT 30,M3-1,7964.0,7884.0,0.99,0.0,2.0,2.0,1.0,40.7508,-73.982
1000000031,MN,2,12,SAMPLE LOT 31,M1-5,1665.0,5944.0,3.57,0.0,5.0,5.0,4.0,40.7508,-73.9812
1000000032,MN,2,13,SAMPLE LOT 32,M1-2,8473.0,5423.0,0.64,0.0,2.0,2.0,1.0,40.7508,-73.98039999999999
1000000033,MN,2,14,SAMPLE LOT 33,M1-5,5065.0,14233.0,2.81,0.0,5.0,5.0,3.0,40.7508,-73.97959999999999
1000000034,MN,2,15,SAMPLE LOT 34,C6-2,1926.0,7800.0,4.05,0.0,6.0,6.0,5.0,40.7508,-73.97879999999999
1000000035,MN,2,16,SAMPLE LOT 35,M1-5,2816.0,6533.0,2.32,0.0,5.0,5.0,3.0,40.7508,-73.978
1000000036,MN,2,17,SAMPLE LOT 36,M1-6,2901.0,15259.0,5.26,0.0,10.0,10.0,6.0,40.7508,-73.9772
1000000037,MN,2,18,SAMPLE LOT 37,M1-2,3864.0,5371.0,1.39,0.0,2.0,2.0,2.0,40.7508,-73.9764
1000000038,MN,2,19,SAMPLE LOT 38,C6-4,2748.0,18769.0,6.83,0.0,10.0,10.0,8.0,40.7508,-73.9756
1000000039,MN,2,20,SAMPLE LOT 39,M1-5,2242.0,4484.0,2.0,0.0,5.0,5.0,2.0,40.7508,-73.9748
1000000040,MN,3,1,SAMPLE LOT 40,M1-5,3232.0,12282.0,3.8,0.0,5.0,5.0,5.0,40.7516,-73.99
1000000041,MN,3,2,SAMPLE LOT 41,C6-4,1949.0,6860.0,3.52,0.0,10.0,10.0,4.0,40.7516,-73.9892
1000000042,MN,3,3,SAMPLE LOT 42,M3-1,1622.0,3017.0,1.86,0.0,2.0,2.0,2.0,40.7516,-73.9884
1000000043,MN,3,4,SAMPLE LOT 43,C6-4,3867.0,16705.0,4.32,0.0,10.0,10.0,5.0,40.7516,-73.9876
1000000044,MN,3,5,SAMPLE LOT 44,C6-2,7421.0,20705.0,2.79,0.0,6.0,6.0,3.0,40.7516,-73.98679999999999
1000000045,MN,3,6,SAMPLE LOT 45,C6-4,1371.0,5895.0,4.3,0.0,10.0,10.0,5.0,40.7516,-73.98599999999999
1000000046,MN,3,7,SAMPLE LOT 46,M1-2,4010.0,7579.0,1.89,0.0,2.0,2.0,2.0,40.7516,-73.98519999999999
1000000047,MN,3,8,SAMPLE LOT 47,C6-2,2538.0,7411.0,2.92,0.0,6.0,6.0,4.0,40.7516,-73.9844
1000000048,MN,3,9,SAMPLE LOT 48,M3-1,2018.0,2805.0,1.39,0.0,2.0,2.0,2.0,40.7516,-73.9836
1000000049,MN,3,10,SAMPLE LOT 49,C6-4,7270.0,68629.0,9.44,0.0,10.0,10.0,11.0,40.7516,-73.9828
1000000050,MN,3,11,SAMPLE LOT 50,M1-6,2783.0,25548.0,9.18,0.0,10.0,10.0,11.0,40.7516,-73.982
1000000051,MN,3,12,SAMPLE LOT 51,C6-2,11417.0,22491.0,1.97,0.0,6.0,6.0,2.0,40.7516,-73.9812
