mode,method,seed,transport,interaction,output,efficiency
human,random,0,716.5,0.17787975626752076,1142.3038050140167,0.727980667607306
human,greedy,0,271.5,0.39159829087868553,1313.2786327029485,1.168251533846189
human,anneal,0,253.5,0.38633614866729954,1309.0689189338395,1.1834564891321253
human,random,1,773.0,0.11320211238452853,1090.5616899076228,0.6708505492896284
human,greedy,1,323.5,0.3099459210548095,1247.9567368438475,1.061061111626467
human,anneal,1,314.0,0.3372870095379907,1269.8296076303925,1.0884499745668055
human,random,2,782.0,0.1191344358931865,1095.307548714549,0.6700602860527122
human,greedy,2,313.0,0.3579066441816878,1286.3253153453502,1.1035353809749215
human,anneal,2,303.0,0.34800759874147585,1278.406078993181,1.1062318233287627
human,random,3,759.0,0.11240507028485965,1089.9240562278878,0.6762824524236666
human,greedy,3,231.5,0.4002999911981366,1320.2399929585094,1.2177759556239978
human,anneal,3,286.0,0.3828002326099146,1306.2401860879315,1.1471930013120277
human,random,4,766.5,0.14673361840475524,1117.386894723804,0.6901112232025711
human,greedy,4,284.0,0.3419569873196129,1273.5655898556904,1.1204649236944422
human,anneal,4,250.0,0.40539866325572027,1324.3189306045763,1.2010434658987046
robot,random,0,766.5,1.0,1800.0,1.5537475360871587
robot,greedy,0,142.5,1.0,1800.0,3.367700295233489
robot,anneal,0,156.0,1.0,1800.0,3.284735265800488
robot,random,1,685.5,1.0,1800.0,1.670550127597038
robot,greedy,1,132.0,1.0,1800.0,3.435184208663389
robot,anneal,1,167.5,1.0,1800.0,3.2172193168556333
robot,random,2,774.5,1.0,1800.0,1.5430916478833567
robot,greedy,2,144.5,1.0,1800.0,3.355145711673761
robot,anneal,2,161.0,1.0,1800.0,3.255035460884382
robot,random,3,626.0,1.0,1800.0,1.768191356264544
robot,greedy,3,117.0,1.0,1800.0,3.5364196497983404
robot,anneal,3,157.5,1.0,1800.0,3.2757685720079253
robot,random,4,747.5,1.0,1800.0,1.579654932885456
robot,greedy,4,147.0,1.0,1800.0,3.3395835043496014
robot,anneal,4,158.5,1.0,1800.0,3.269817923790735
